city,country,date,max_temp,cloudiness,humidity,wind_speed,lat,lng
Leshukonskoye,RU,1600396262,32.59,0,97,5.19,64.9,45.76
Lima,PE,1600396014,60.8,90,82,5.82,-12.04,-77.03
Linxia Chengguanzhen,CN,1600396151,59.79,46,45,1.16,35.6,103.21
Listvyanskiy,RU,1600396247,52.59,31,67,21.16,54.44,83.5
Liyang,CN,1600396201,68.59,98,85,3.42,29.71,118.29
Lluta,PE,1600396264,42.3,0,63,2.86,-16.01,-72.01
Lompoc,US,1600396176,64.99,20,88,8.05,34.64,-120.46
Longyearbyen,SJ,1600395858,37.4,75,86,4.7,78.22,15.64
Loralai,PK,1600396256,74.77,0,17,7.34,30.37,68.6
Lorengau,PG,1600396145,86.41,93,67,7.43,-2.02,147.27
Los Llanos de Aridane,ES,1600396183,71.6,88,73,6.93,28.66,-17.92
Los Lunas,US,1600396226,73.99,40,27,9.17,34.81,-106.73
Luau,AO,1600396241,69.91,53,76,4.76,-10.71,22.22
Lublin Voivodeship,PL,1600396130,44.6,0,100,8.05,51.0,23.0
Lucapa,AO,1600396164,70.99,100,71,2.21,-8.42,20.74
Luga,RU,1600396198,46.35,100,89,17.02,58.74,29.85
Lüderitz,NA,1600396177,56.34,0,71,13.53,-26.65,15.16
Mackay,AU,1600396179,77.0,40,65,17.22,-21.15,149.2
Mackenzie,CA,1600396233,60.8,1,87,2.44,55.3,-123.17
Macusani,PE,1600396174,37.06,80,84,7.18,-14.08,-70.43
Madimba,TZ,1600396167,72.45,7,88,5.73,-10.4,40.33
Mahibadhoo,MV,1600396128,82.47,72,76,8.46,3.78,72.97
Mahébourg,MU,1600396174,69.8,75,77,13.87,-20.41,57.7
Makakilo City,US,1600396041,87.8,40,58,9.17,21.35,-158.09
Malartic,CA,1600396231,35.6,20,84,4.7,48.13,-78.13
Mana,GF,1600396123,78.19,1,88,9.28,5.66,-53.78
Manacapuru,BR,1600396252,75.2,75,94,3.36,-3.3,-60.62
Manali,IN,1600396251,84.2,75,70,9.17,13.17,80.27
Mandalgovi,MN,1600396225,57.97,0,41,1.39,45.76,106.27
Mar del Plata,AR,1600396125,57.2,0,47,9.17,-38.0,-57.56
Marawi,PH,1600396169,84.99,81,75,4.0,8.0,124.29
Mareeba,AU,1600396124,78.8,75,69,13.87,-17.0,145.43
Margate,GB,1600396167,61.0,91,54,5.99,51.38,1.39
Mariinsk,RU,1600396158,53.96,0,82,10.6,56.21,87.75
Markala,ML,1600396107,78.21,100,77,3.29,13.7,-6.07
Marsh Harbour,BS,1600396121,84.04,86,71,8.9,26.54,-77.06
Marystown,CA,1600396234,64.0,39,100,7.0,47.17,-55.15
Massa Marittima,IT,1600396227,73.0,0,55,6.98,43.05,10.89
Mataura,NZ,1600396117,51.01,100,79,18.99,-46.19,168.86
Mayo,US,1600396223,69.01,90,94,7.18,38.89,-76.51
Medak,IN,1600396213,75.0,53,83,1.01,18.03,78.27
Mehamn,NO,1600396185,43.7,100,81,18.43,71.04,27.85
Melilla,ES,1600396143,73.4,100,83,3.36,35.29,-2.94
Merauke,ID,1600395906,85.35,90,69,9.51,-8.47,140.33
Merrill,US,1600396160,50.0,1,65,5.82,45.18,-89.68
Meulaboh,ID,1600396114,77.72,100,83,3.67,4.14,96.13
Meïganga,CM,1600396140,64.8,100,87,2.75,6.52,14.3
Mitsamiouli,KM,1600396183,75.7,0,76,11.63,-11.38,43.28
Mitú,CO,1600396138,73.65,96,92,0.58,1.2,-70.17
Mnogovershinnyy,RU,1600396262,43.99,100,99,17.2,53.94,139.92
Mocuba,MZ,1600396108,68.7,0,77,2.68,-16.84,36.99
Mojo,ET,1600396254,57.2,20,82,2.24,8.6,39.12
Morales,CO,1600396256,61.52,100,92,0.74,2.76,-76.62
Moree,AU,1600396218,82.4,23,23,12.75,-29.47,149.85
Morwell,AU,1600396173,59.0,81,78,1.99,-38.23,146.4
Morón,AR,1600396031,69.8,0,35,11.41,-34.65,-58.62
Moses Lake,US,1600396080,73.4,90,46,4.7,47.13,-119.28
Mosetse,BW,1600396190,73.4,86,49,8.75,-20.75,26.65
Mossamedes,AO,1600396040,59.2,0,84,3.96,-15.2,12.15
Mount Gambier,AU,1600396082,57.2,90,76,12.75,-37.83,140.77
Mount Isa,AU,1600396203,89.6,40,38,14.99,-20.73,139.5
Mountain Home,US,1600396090,78.8,1,19,9.17,43.13,-115.69
Mundo Nuevo (Ojo de Agua),MX,1600396213,81.09,99,79,6.24,18.7,-95.5
Muros,ES,1600396135,62.01,83,94,7.0,42.78,-9.06
